model,scenario,region,variable,unit,time,value
HiSim_simple_district,,AACHEN,BUI1_Building|Heating|HeatFluxToThermalMass,W,2021-01-02,269.4831020423192
HiSim_simple_district,,AACHEN,BUI1_Building|Heating|HeatFluxToThermalMass,W,2021-01-03,228.65549318365964
HiSim_simple_district,,AACHEN,BUI1_Building|Heating|HeatFluxToThermalMass,W,2021-01-04,145.12854830895265
HiSim_simple_district,,AACHEN,BUI1_Building|Heating|HeatFluxToThermalMass,W,2021-01-05,191.53806413864734
HiSim_simple_district,,AACHEN,BUI1_Building|Heating|HeatFluxToThermalMass,W,2021-01-06,208.10403981097232
HiSim_simple_district,,AACHEN,BUI1_Building|Heating|HeatFluxToThermalMass,W,2021-01-07,228.66014292861288
HiSim_simple_district,,AACHEN,BUI1_Building|Heating|HeatFluxToInternalSurface,W,2021-01-01,129.4809873255364
HiSim_simple_district,,AACHEN,BUI1_Building|Heating|HeatFluxToInternalSurface,W,2021-01-02,211.8764832464741
HiSim_simple_district,,AACHEN,BUI1_Building|Heating|HeatFluxToInternalSurface,W,2021-01-03,179.77647356580425
HiSim_simple_district,,AACHEN,BUI1_Building|Heating|HeatFluxToInternalSurface,W,2021-01-04,114.10484071664753
HiSim_simple_district,,AACHEN,BUI1_Building|Heating|HeatFluxToInternalSurface,W,2021-01-05,150.59352935295064
HiSim_simple_district,,AACHEN,BUI1_Building|Heating|HeatFluxToInternalSurface,W,2021-01-06,163.61824459631185
HiSim_simple_district,,AACHEN,BUI1_Building|Heating|HeatFluxToInternalSurface,W,2021-01-07,179.78012934830494
HiSim_simple_district,,AACHEN,BUI1_Building|Heating|TotalThermalMassHeatFlux,W,2021-01-01,2471.9518376850083
HiSim_simple_district,,AACHEN,BUI1_Building|Heating|TotalThermalMassHeatFlux,W,2021-01-02,3828.4340255809716
HiSim_simple_district,,AACHEN,BUI1_Building|Heating|TotalThermalMassHeatFlux,W,2021-01-03,3798.8240692333493
HiSim_simple_district,,AACHEN,BUI1_Building|Heating|TotalThermalMassHeatFlux,W,2021-01-04,4026.6390156175644
HiSim_simple_district,,AACHEN,BUI1_Building|Heating|TotalThermalMassHeatFlux,W,2021-01-05,4243.671772622972
HiSim_simple_district,,AACHEN,BUI1_Building|Heating|TotalThermalMassHeatFlux,W,2021-01-06,4190.463207755677
HiSim_simple_district,,AACHEN,BUI1_Building|Heating|TotalThermalMassHeatFlux,W,2021-01-07,4163.352636084626
